district,county,current_per_adm,instruction_per_adm,prof_alg,prof_bio,prof_eng,prof_alg_dis,prof_alg_black
Smethport Area SD,McKean,22647.18,14228.13,40.4,48.3,55,20,NA
Commodore Perry SD,Mercer,24031.57,14919.74,63,57.1,85.2,,NA
Farrell Area SD,Mercer,28036.91,18932.67,3,14.7,18.2,3,4.2
Greenville Area SD,Mercer,17843.79,11542.74,33.3,42.6,57.4,23.1,NA
Grove City Area SD,Mercer,21693.4,14208.95,48.6,57.4,66,30.4,NA
Hermitage SD,Mercer,16264.82,10615.91,54.3,74.7,81,39.3,NA
Jamestown Area SD,Mercer,25534.16,14321.1,44.4,50,61.1,,NA
Lakeview SD,Mercer,23805.87,15036.92,40.6,47.8,71,32.4,NA
Mercer Area SD,Mercer,17793.04,11465.99,44.8,59.4,78.3,28.6,NA
Reynolds SD,Mercer,20868.54,13381.98,36.2,41,50.8,34.6,NA
Sharon City SD,Mercer,19324.18,13409.18,46.2,48,68,38.3,14.3
Sharpsville Area SD,Mercer,17028.93,11211.99,22.2,56.2,71.8,7.7,NA
West Middlesex Area SD,Mercer,21570.45,13971.75,40.9,64.6,51,38.5,NA
Mifflin County SD,Mifflin,16927.59,11008.28,38,51.1,60.5,26,NA
East Stroudsburg Area SD,Monroe,23793.23,14904.34,29.5,40.4,58.4,23,20.9
Pleasant Valley SD,Monroe,22288.38,13662.85,37.7,51.8,70.7,23.4,26.1
Pocono Mountain SD,Monroe,25948.53,16061.87,46.7,46.4,63.3,37.3,32.3
Stroudsburg Area SD,Monroe,23347.07,15511.26,53.1,60.6,73.9,46.3,38
Abington SD,Montgomery,20224.1,12564.25,50.1,61.3,65.8,36.5,29.9
Bryn Athyn SD,Montgomery,83788.46,49057.97,NA,NA,NA,NA,NA
Cheltenham SD,Montgomery,28232.12,17726.53,30.2,45.6,64.4,20.6,19.3
Colonial SD,Montgomery,25166.25,16461.53,75.6,79,83.3,59.7,51
Hatboro-Horsham SD,Montgomery,27492.52,17146.03,49.3,54.2,60.7,39.2,37.5
Jenkintown SD,Montgomery,23322.8,13578.92,53.7,65.2,85.4,40,27.3
Lower Merion SD,Montgomery,33099.93,21147.38,80.7,86,91.4,51.9,26.8
Lower Moreland Township SD,Montgomery,21801.54,14681.16,65.4,76.2,66.2,44,NA
Methacton SD,Montgomery,25688.34,16348.28,51.8,66.5,66.4,29,21.1
Norristown Area SD,Montgomery,20797.37,13854.28,10.4,15.8,30.2,9.6,11.2
North Penn SD,Montgomery,21759.04,14469.23,49.3,64.6,75.2,34.4,31.6
Perkiomen Valley SD,Montgomery,23578.53,15383.02,53.3,69.8,86.3,38.5,33.3
Pottsgrove SD,Montgomery,21486.91,14465.3,36.2,52.8,62.8,23.1,13.3
Pottstown SD,Montgomery,24095.21,15470.18,20.1,30.4,46.2,17.2,12.7
Souderton Area SD,Montgomery,21725.59,14744.41,57.6,66.9,75.8,36.3,17.4
Springfield Township SD,Montgomery,24549.17,14380.04,31.1,64.6,71.8,16.7,0
Spring-Ford Area SD,Montgomery,21536.2,14000.79,62.9,78.2,80.7,50,23.1
Upper Dublin SD,Montgomery,23914.43,15770.64,42.7,72.4,86.4,25,6.9
Upper Merion Area SD,Montgomery,25926.59,16863.18,28.7,58.3,50.5,23.4,10
Upper Moreland Township SD,Montgomery,18975.89,12140.93,49.6,55.4,66.4,29.8,31
Upper Perkiomen SD,Montgomery,22313.56,14249.72,57.7,56.9,70.1,46.9,NA
Wissahickon SD,Montgomery,22832.3,15736.25,61.7,71.4,86.2,40.9,13.8
Danville Area SD,Montour,20278.92,14044.12,42.4,64.6,71.2,28.6,NA
Bangor Area SD,Northampton,18984.05,12150.78,51.1,58.6,76.3,39.6,NA
Bethlehem Area SD,Northampton,20353.35,13945.69,28.6,33.6,48.6,18,20.4
Easton Area SD,Northampton,22580.37,15508.37,26.3,37,44.6,16.5,15.7
Nazareth Area SD,Northampton,19066.47,12607.29,48.8,62,71.6,33.7,38.5
Northampton Area SD,Northampton,21233.75,13816.66,29.7,46.6,63.6,22.1,NA
Pen Argyl Area SD,Northampton,20062.17,12333.66,38.7,48.3,60.8,17.1,NA
Saucon Valley SD,Northampton,23047.56,15098.22,65.6,63.3,82,48.8,NA
Wilson Area SD,Northampton,18135.8,11847.11,43.1,54.7,74.6,28.4,27.8
Line Mountain SD,Northumberland,20535.51,12405.78,42.6,58.9,72.7,31.6,NA
Milton Area SD,Northumberland,19252.72,11859.23,54.9,39.7,63.7,43.8,NA
Mount Carmel Area SD,Northumberland,14730.73,10204.56,33.6,29.6,50,23.7,NA
Shamokin Area SD,Northumberland,14820.73,10601.68,28.1,29.1,48.7,18.4,NA
Shikellamy SD,Northumberland,16114.83,11546.79,31.6,58,63.4,22.5,NA
Warrior Run SD,Northumberland,17048.09,10372.63,21.8,56.3,54,14.6,NA
Greenwood SD,Perry,20283.02,12630.18,62.2,79.6,87,53.3,NA
Newport SD,Perry,21332.26,14093.76,49.2,41.5,56.1,41.7,NA
Susquenita SD,Perry,18027.97,11661.51,28.6,43.4,55.6,25,NA
West Perry SD,Perry,19106.03,12688.86,52,53.9,82.5,37.5,NA
Philadelphia City SD,Philadelphia,21360.05,15695.5,25.6,32.3,51.9,21.5,13.2
Delaware Valley SD,Pike,20617.56,13366.92,71.5,78.1,92.6,62.6,NA
Wallenpaupack Area SD,Pike,28731.34,18254.9,46.1,58.7,65.5,36.4,NA
Austin Area SD,Potter,33952.42,20172.35,46.7,56.3,56.3,,NA
Coudersport Area SD,Potter,22150.22,14185.8,29.4,54,42.3,21.7,NA
Galeton Area SD,Potter,24611.32,15861.23,20,45,65,,NA
Northern Potter SD,Potter,21295.07,13482.08,26.9,37,55.2,14.3,NA
Oswayo Valley SD,Potter,24416.35,14943.37,67.9,51.7,69,57.1,NA
Blue Mountain SD,Schuylkill,17829.13,11072.64,46.8,62.3,73.8,32.7,NA
Mahanoy Area SD,Schuylkill,17380.74,10772.47,30.3,25,34.2,34.3,NA
Minersville Area SD,Schuylkill,18080.36,12110.14,21.5,39.4,47.7,15.2,NA
North Schuylkill SD,Schuylkill,15304.62,9703.29,39.1,33.3,61.9,24.7,NA
Pine Grove Area SD,Schuylkill,16911.43,10485,59.4,50.5,60,35,NA
Pottsville Area SD,Schuylkill,16586.12,11237.29,50.8,45.9,65.5,40.3,61.5
Saint Clair Area SD,Schuylkill,14783.49,10153.4,NA,NA,NA,NA,NA
Schuylkill Haven Area SD,Schuylkill,18717.25,11342.21,48.7,56.6,62.3,50,NA
Shenandoah Valley SD,Schuylkill,17150.72,11527.86,36.2,33.3,30,36.6,NA
Tamaqua Area SD,Schuylkill,16316.24,10614.1,66.1,41.7,66.2,35.3,NA
Tri-Valley SD,Schuylkill,16300.4,9944.35,23.2,44.9,55.1,16.7,NA
Williams Valley SD,Schuylkill,16288.15,10717.55,21,50,42.4,21.3,NA
Midd-West SD,Snyder,NA,NA,49.6,65,70.2,50,NA
Selinsgrove Area SD,Snyder,17805.57,11413.63,68,56.8,71.3,60.3,NA
Berlin Brothersvalley SD,Somerset,16673.53,10624.93,44.4,69.6,60,30.8,NA
Conemaugh Township Area SD,Somerset,16983.1,10193.39,58.7,54.8,73.3,33.3,NA
Meyersdale Area SD,Somerset,20920.65,12667.13,40,43.3,56.7,29.6,NA
North Star SD,Somerset,18286.24,11169.63,38.9,64.4,58.2,25,NA
Rockwood Area SD,Somerset,22641.27,12435.67,44.9,56.4,74.5,44.4,NA
Salisbury-Elk Lick SD,Somerset,24762.68,15089.8,33.3,33.3,45.5,,NA
Shade-Central City SD,Somerset,28495.69,18036.46,55,50,75,55,NA
Shanksville-Stonycreek SD,Somerset,24767.66,14196.21,52.6,33.3,57.1,,NA
Somerset Area SD,Somerset,20195.32,12649.37,66.2,67.6,78.6,60.6,NA
Turkeyfoot Valley Area SD,Somerset,23728.04,12389.9,36.4,27.3,54.5,41.7,NA
Windber Area SD,Somerset,15286.69,9506.6,49.3,60.8,74.7,42.4,NA
Sullivan County SD,Sullivan,27560.88,17517.38,59,55,61.5,31.3,NA
